"","year","ca","age_group","sex","diagnosis","number_of_deaths","crude_rate","LA_Name"
"1",2009,"S92000003","All","All","Cerebrovascular Disease",4911,93.87,NA
"2",2009,"S92000003","All","All","Stroke",2732,52.22,NA
"3",2009,"S92000003","All","All","Subarachnoid Haemorrhage",189,3.61,NA
"4",2009,"S92000003","All","Male","Cerebrovascular Disease",1843,72.79,NA
"5",2009,"S92000003","All","Male","Stroke",988,39.02,NA
"6",2009,"S92000003","All","Male","Subarachnoid Haemorrhage",64,2.53,NA
"7",2009,"S92000003","All","Female","Cerebrovascular Disease",3068,113.63,NA
"8",2009,"S92000003","All","Female","Stroke",1744,64.59,NA
"9",2009,"S92000003","All","Female","Subarachnoid Haemorrhage",125,4.63,NA
"10",2009,"S92000003","0-44 years","All","Cerebrovascular Disease",60,2.03,NA
"11",2009,"S92000003","0-44 years","All","Stroke",29,0.98,NA
"12",2009,"S92000003","0-44 years","All","Subarachnoid Haemorrhage",24,0.81,NA
"13",2009,"S92000003","0-44 years","Male","Cerebrovascular Disease",35,2.38,NA
"14",2009,"S92000003","0-44 years","Male","Stroke",20,1.36,NA
"15",2009,"S92000003","0-44 years","Male","Subarachnoid Haemorrhage",10,0.68,NA
"16",2009,"S92000003","0-44 years","Female","Cerebrovascular Disease",25,1.69,NA
"17",2009,"S92000003","0-44 years","Female","Stroke",9,0.61,NA
"18",2009,"S92000003","0-44 years","Female","Subarachnoid Haemorrhage",14,0.95,NA
"19",2009,"S92000003","45-64 years","All","Cerebrovascular Disease",358,25.35,NA
"20",2009,"S92000003","45-64 years","All","Stroke",198,14.02,NA
"21",2009,"S92000003","45-64 years","All","Subarachnoid Haemorrhage",84,5.95,NA
"22",2009,"S92000003","45-64 years","Male","Cerebrovascular Disease",190,27.5,NA
"23",2009,"S92000003","45-64 years","Male","Stroke",110,15.92,NA
"24",2009,"S92000003","45-64 years","Male","Subarachnoid Haemorrhage",33,4.78,NA
