"","year","hbr","age_group","sex","diagnosis","number_of_deaths","crude_rate","HBName"
"1",2009,"S92000003","All","All","Cerebrovascular Disease",4911,93.86647,NA
"2",2009,"S92000003","All","All","Stroke",2732,52.21812,NA
"3",2009,"S92000003","All","All","Subarachnoid Haemorrhage",189,3.612454,NA
"4",2009,"S92000003","All","Male","Cerebrovascular Disease",1843,72.7892,NA
"5",2009,"S92000003","All","Male","Stroke",988,39.02101,NA
"6",2009,"S92000003","All","Male","Subarachnoid Haemorrhage",64,2.527677,NA
"7",2009,"S92000003","All","Female","Cerebrovascular Disease",3068,113.6325,NA
"8",2009,"S92000003","All","Female","Stroke",1744,64.59424,NA
"9",2009,"S92000003","All","Female","Subarachnoid Haemorrhage",125,4.629748,NA
"10",2009,"S92000003","0-44 years","All","Cerebrovascular Disease",60,2.034432,NA
"11",2009,"S92000003","0-44 years","All","Stroke",29,0.983309,NA
"12",2009,"S92000003","0-44 years","All","Subarachnoid Haemorrhage",24,0.813773,NA
"13",2009,"S92000003","0-44 years","Male","Cerebrovascular Disease",35,2.380572,NA
"14",2009,"S92000003","0-44 years","Male","Stroke",20,1.360327,NA
"15",2009,"S92000003","0-44 years","Male","Subarachnoid Haemorrhage",10,0.680163,NA
"16",2009,"S92000003","0-44 years","Female","Cerebrovascular Disease",25,1.690342,NA
"17",2009,"S92000003","0-44 years","Female","Stroke",9,0.608523,NA
"18",2009,"S92000003","0-44 years","Female","Subarachnoid Haemorrhage",14,0.946591,NA
"19",2009,"S92000003","45-64 years","All","Cerebrovascular Disease",358,25.35233,NA
"20",2009,"S92000003","45-64 years","All","Stroke",198,14.02168,NA
"21",2009,"S92000003","45-64 years","All","Subarachnoid Haemorrhage",84,5.948591,NA
"22",2009,"S92000003","45-64 years","Male","Cerebrovascular Disease",190,27.50263,NA
"23",2009,"S92000003","45-64 years","Male","Stroke",110,15.92258,NA
"24",2009,"S92000003","45-64 years","Male","Subarachnoid Haemorrhage",33,4.776773,NA
"25",2009,"S92000003","45-64 years","Female","Cerebrovascular Disease",168,23.2927,NA
"26",2009,"S92000003","45-64 years","Female","Stroke",88,12.20094,NA
"27",2009,"S92000003","45-64 years","Female","Subarachnoid Haemorrhage",51,7.070998,NA
"28",2009,"S92000003","65-74 years","All","Cerebrovascular Disease",627,132.3718,NA
"29",2009,"S92000003","65-74 years","All","Stroke",398,84.02545,NA
"30",2009,"S92000003","65-74 years","All","Subarachnoid Haemorrhage",33,6.966935,NA
"31",2009,"S92000003","65-74 years","Male","Cerebrovascular Disease",329,149.7108,NA
"32",2009,"S92000003","65-74 years","Male","Stroke",203,92.37476,NA
"33",2009,"S92000003","65-74 years","Male","Subarachnoid Haemorrhage",10,4.550481,NA
"34",2009,"S92000003","65-74 years","Female","Cerebrovascular Disease",298,117.3649,NA
"35",2009,"S92000003","65-74 years","Female","Stroke",195,76.79917,NA
"36",2009,"S92000003","65-74 years","Female","Subarachnoid Haemorrhage",23,9.058363,NA
"37",2009,"S92000003","under75 years","All","Cerebrovascular Disease",1045,21.61328,NA
"38",2009,"S92000003","under75 years","All","Stroke",625,12.9266,NA
"39",2009,"S92000003","under75 years","All","Subarachnoid Haemorrhage",141,2.916241,NA
"40",2009,"S92000003","under75 years","Male","Cerebrovascular Disease",554,23.26915,NA
"41",2009,"S92000003","under75 years","Male","Stroke",333,13.98669,NA
"42",2009,"S92000003","under75 years","Male","Subarachnoid Haemorrhage",53,2.22611,NA
"43",2009,"S92000003","under75 years","Female","Cerebrovascular Disease",491,20.00688,NA
"44",2009,"S92000003","under75 years","Female","Stroke",292,11.89818,NA
"45",2009,"S92000003","under75 years","Female","Subarachnoid Haemorrhage",88,3.585754,NA
"46",2009,"S92000003","75plus years","All","Cerebrovascular Disease",3866,974.0268,NA
"47",2009,"S92000003","75plus years","All","Stroke",2107,530.8522,NA
"48",2009,"S92000003","75plus years","All","Subarachnoid Haemorrhage",48,12.09345,NA
"49",2009,"S92000003","75plus years","Male","Cerebrovascular Disease",1289,852.8855,NA
"50",2009,"S92000003","75plus years","Male","Stroke",655,433.3902,NA
"51",2009,"S92000003","75plus years","Male","Subarachnoid Haemorrhage",11,7.278309,NA
"52",2009,"S92000003","75plus years","Female","Cerebrovascular Disease",2577,1048.52,NA
"53",2009,"S92000003","75plus years","Female","Stroke",1452,590.7843,NA
"54",2009,"S92000003","75plus years","Female","Subarachnoid Haemorrhage",37,15.05442,NA
"55",2009,"S08000015","All","All","Cerebrovascular Disease",386,103.6436,"NHS Ayrshire and Arran"
"56",2009,"S08000015","All","All","Stroke",206,55.31241,"NHS Ayrshire and Arran"
"57",2009,"S08000015","All","All","Subarachnoid Haemorrhage",18,4.833123,"NHS Ayrshire and Arran"
"58",2009,"S08000015","All","Male","Cerebrovascular Disease",142,79.71169,"NHS Ayrshire and Arran"
"59",2009,"S08000015","All","Male","Stroke",81,45.46934,"NHS Ayrshire and Arran"
"60",2009,"S08000015","All","Male","Subarachnoid Haemorrhage",6,3.3681,"NHS Ayrshire and Arran"
"61",2009,"S08000015","All","Female","Cerebrovascular Disease",244,125.5868,"NHS Ayrshire and Arran"
"62",2009,"S08000015","All","Female","Stroke",125,64.33748,"NHS Ayrshire and Arran"
"63",2009,"S08000015","All","Female","Subarachnoid Haemorrhage",12,6.176398,"NHS Ayrshire and Arran"
"64",2009,"S08000015","0-44 years","All","Cerebrovascular Disease",5,2.538922,"NHS Ayrshire and Arran"
"65",2009,"S08000015","0-44 years","All","Stroke",3,1.523353,"NHS Ayrshire and Arran"
"66",2009,"S08000015","0-44 years","All","Subarachnoid Haemorrhage",1,0.507784,"NHS Ayrshire and Arran"
"67",2009,"S08000015","0-44 years","Male","Cerebrovascular Disease",5,5.151984,"NHS Ayrshire and Arran"
"68",2009,"S08000015","0-44 years","Male","Stroke",3,3.09119,"NHS Ayrshire and Arran"
"69",2009,"S08000015","0-44 years","Male","Subarachnoid Haemorrhage",1,1.030397,"NHS Ayrshire and Arran"
"70",2009,"S08000015","0-44 years","Female","Cerebrovascular Disease",0,0,"NHS Ayrshire and Arran"
"71",2009,"S08000015","0-44 years","Female","Stroke",0,0,"NHS Ayrshire and Arran"
"72",2009,"S08000015","0-44 years","Female","Subarachnoid Haemorrhage",0,0,"NHS Ayrshire and Arran"
"73",2009,"S08000015","45-64 years","All","Cerebrovascular Disease",32,30.16506,"NHS Ayrshire and Arran"
"74",2009,"S08000015","45-64 years","All","Stroke",17,16.02519,"NHS Ayrshire and Arran"
"75",2009,"S08000015","45-64 years","All","Subarachnoid Haemorrhage",9,8.483923,"NHS Ayrshire and Arran"
"76",2009,"S08000015","45-64 years","Male","Cerebrovascular Disease",18,35.16655,"NHS Ayrshire and Arran"
"77",2009,"S08000015","45-64 years","Male","Stroke",12,23.44437,"NHS Ayrshire and Arran"
"78",2009,"S08000015","45-64 years","Male","Subarachnoid Haemorrhage",2,3.907395,"NHS Ayrshire and Arran"
"79",2009,"S08000015","45-64 years","Female","Cerebrovascular Disease",14,25.50184,"NHS Ayrshire and Arran"
"80",2009,"S08000015","45-64 years","Female","Stroke",5,9.1078,"NHS Ayrshire and Arran"
"81",2009,"S08000015","45-64 years","Female","Subarachnoid Haemorrhage",7,12.75092,"NHS Ayrshire and Arran"
"82",2009,"S08000015","65-74 years","All","Cerebrovascular Disease",54,140.3618,"NHS Ayrshire and Arran"
"83",2009,"S08000015","65-74 years","All","Stroke",35,90.97525,"NHS Ayrshire and Arran"
"84",2009,"S08000015","65-74 years","All","Subarachnoid Haemorrhage",5,12.99646,"NHS Ayrshire and Arran"
"85",2009,"S08000015","65-74 years","Male","Cerebrovascular Disease",26,144.0922,"NHS Ayrshire and Arran"
"86",2009,"S08000015","65-74 years","Male","Stroke",17,94.21414,"NHS Ayrshire and Arran"
"87",2009,"S08000015","65-74 years","Male","Subarachnoid Haemorrhage",3,16.62603,"NHS Ayrshire and Arran"
"88",2009,"S08000015","65-74 years","Female","Cerebrovascular Disease",28,137.0668,"NHS Ayrshire and Arran"
"89",2009,"S08000015","65-74 years","Female","Stroke",18,88.11435,"NHS Ayrshire and Arran"
"90",2009,"S08000015","65-74 years","Female","Subarachnoid Haemorrhage",2,9.790484,"NHS Ayrshire and Arran"
"91",2009,"S08000015","under75 years","All","Cerebrovascular Disease",91,26.648,"NHS Ayrshire and Arran"
"92",2009,"S08000015","under75 years","All","Stroke",55,16.10594,"NHS Ayrshire and Arran"
"93",2009,"S08000015","under75 years","All","Subarachnoid Haemorrhage",15,4.392528,"NHS Ayrshire and Arran"
"94",2009,"S08000015","under75 years","Male","Cerebrovascular Disease",49,29.46854,"NHS Ayrshire and Arran"
"95",2009,"S08000015","under75 years","Male","Stroke",32,19.24476,"NHS Ayrshire and Arran"
"96",2009,"S08000015","under75 years","Male","Subarachnoid Haemorrhage",6,3.608393,"NHS Ayrshire and Arran"
"97",2009,"S08000015","under75 years","Female","Cerebrovascular Disease",42,23.97123,"NHS Ayrshire and Arran"
"98",2009,"S08000015","under75 years","Female","Stroke",23,13.1271,"NHS Ayrshire and Arran"
"99",2009,"S08000015","under75 years","Female","Subarachnoid Haemorrhage",9,5.136693,"NHS Ayrshire and Arran"
"100",2009,"S08000015","75plus years","All","Cerebrovascular Disease",295,953.4275,"NHS Ayrshire and Arran"
"101",2009,"S08000015","75plus years","All","Stroke",151,488.0256,"NHS Ayrshire and Arran"
"102",2009,"S08000015","75plus years","All","Subarachnoid Haemorrhage",3,9.695873,"NHS Ayrshire and Arran"
"103",2009,"S08000015","75plus years","Male","Cerebrovascular Disease",93,783.9501,"NHS Ayrshire and Arran"
"104",2009,"S08000015","75plus years","Male","Stroke",49,413.049,"NHS Ayrshire and Arran"
"105",2009,"S08000015","75plus years","Male","Subarachnoid Haemorrhage",0,0,"NHS Ayrshire and Arran"
"106",2009,"S08000015","75plus years","Female","Cerebrovascular Disease",202,1058.811,"NHS Ayrshire and Arran"
"107",2009,"S08000015","75plus years","Female","Stroke",102,534.6472,"NHS Ayrshire and Arran"
"108",2009,"S08000015","75plus years","Female","Subarachnoid Haemorrhage",3,15.72492,"NHS Ayrshire and Arran"
"109",2009,"S08000016","All","All","Cerebrovascular Disease",96,84.51448,"NHS Borders"
"110",2009,"S08000016","All","All","Stroke",55,48.41976,"NHS Borders"
"111",2009,"S08000016","All","All","Subarachnoid Haemorrhage",7,6.162514,"NHS Borders"
"112",2009,"S08000016","All","Male","Cerebrovascular Disease",32,58.27612,"NHS Borders"
"113",2009,"S08000016","All","Male","Stroke",20,36.42257,"NHS Borders"
"114",2009,"S08000016","All","Male","Subarachnoid Haemorrhage",2,3.642257,"NHS Borders"
"115",2009,"S08000016","All","Female","Cerebrovascular Disease",64,109.068,"NHS Borders"
