_id,FinancialYear,HBR,HBRQF,AdmissionType,AdmissionTypeQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDischarges,NumberOfDiscargesQF,CrudeRate,CrudeRateQF,EASR
1,2009/10,S92000003,d,All,d,All,d,All,d,Angina,10246,,195.8370764,,223.2650241
2,2009/10,S92000003,d,All,d,All,d,All,d,Coronary Heart Disease,47944,,916.3783711,,1047.440908
3,2009/10,S92000003,d,All,d,All,d,All,d,Heart Attack,20911,,399.6827156,,459.0075428
4,2009/10,S92000003,d,All,d,All,d,All,d,Heart Failure,11188,,213.8420077,,262.2355136
5,2009/10,S92000003,d,All,d,All,d,Male,,Angina,5818,,229.7816442,,279.034989
6,2009/10,S92000003,d,All,d,All,d,Male,,Coronary Heart Disease,30881,,1219.643684,,1447.574499
7,2009/10,S92000003,d,All,d,All,d,Male,,Heart Attack,13086,,516.8309723,,624.4361914
8,2009/10,S92000003,d,All,d,All,d,Male,,Heart Failure,5799,,229.0312401,,322.9381368
9,2009/10,S92000003,d,All,d,All,d,Female,,Angina,4428,,164.0041912,,167.4950592
10,2009/10,S92000003,d,All,d,All,d,Female,,Coronary Heart Disease,17063,,631.9791135,,647.3073168
11,2009/10,S92000003,d,All,d,All,d,Female,,Heart Attack,7825,,289.8222214,,293.5788941
12,2009/10,S92000003,d,All,d,All,d,Female,,Heart Failure,5389,,199.5976934,,201.5328904
13,2009/10,S92000003,d,All,d,0-44 years,,All,d,Angina,317,,10.74858285,,10.76467432
14,2009/10,S92000003,d,All,d,0-44 years,,All,d,Coronary Heart Disease,1741,,59.03243766,,59.18201664
15,2009/10,S92000003,d,All,d,0-44 years,,All,d,Heart Attack,952,,32.27965575,,32.43454505
16,2009/10,S92000003,d,All,d,0-44 years,,All,d,Heart Failure,174,,5.899853046,,5.963537913
17,2009/10,S92000003,d,All,d,0-44 years,,Male,,Angina,207,,14.07938187,,14.21298498
18,2009/10,S92000003,d,All,d,0-44 years,,Male,,Coronary Heart Disease,1299,,88.35322244,,89.10750344
19,2009/10,S92000003,d,All,d,0-44 years,,Male,,Heart Attack,732,,49.78795907,,50.36823143
20,2009/10,S92000003,d,All,d,0-44 years,,Male,,Heart Failure,97,,6.59758474,,6.64612794
21,2009/10,S92000003,d,All,d,0-44 years,,Female,,Angina,110,,7.437503,,7.316363662
22,2009/10,S92000003,d,All,d,0-44 years,,Female,,Coronary Heart Disease,442,,29.88523933,,29.25652985
